NodeName,NeId,Object,Time,Interval,Direction,NeAlias,NeType,Position,RxLevelBelowTS1,RxLevelBelowTS2,MinRxLevel,MaxRxLevel,TxLevelAboveTS1,MinTxLevel,MaxTxLevel,IdLogNum,FailureDescription
SOEM1,6095,1/4/1__n83c__x40a,2020-03-11 14:15:00,15,Near End,AL5983.1,AMM 6PC,-,0,0,-43.5,-42.6,0,-6.0,-6.0,0,-
SOEM1,6095,1/2/1__n82a__272c,2020-03-11 14:15:00,15,Near End,AL5983.1,AMM 6PC,-,0,0,-48.5,-47.6,0,8.0,8.0,0,-
SOEM1,6067,1/4/1__ATDj__ATJo,2020-03-11 14:15:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-46.0,-45.1,0,14.0,14.0,0,-
SOEM1,6067,1/20/1__ATDc__531b,2020-03-11 14:15:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-53.3,-51.7,0,0.0,0.0,0,-
SOEM1,6067,1/3/1__ATDn__ATJn,2020-03-11 14:15:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-45.4,-44.2,0,14.0,14.0,0,-
SOEM1,6067,1/17/1__ATD1__641b,2020-03-11 14:15:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-39.1,-38.2,0,0.0,0.0,0,-
SOEM1,6067,1/16/1__ATDe__A61b,2020-03-11 14:15:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-49.5,-48.9,0,-5.0,-5.0,0,-
SOEM1,6067,1/5/1__ATDp__ATJp,2020-03-11 14:15:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-45.1,-43.8,0,14.0,14.0,0,-
SOEM1,6067,1/2/1__ATDm__ATJm,2020-03-11 14:15:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-44.2,-43.2,0,14.0,14.0,0,-
SOEM1,6067,1/14+15/1__ATDd__A27b,2020-03-11 14:15:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-51.1,-50.4,0,0.0,0.0,0,-
SOEM1,6067,1/18+19/1__ATDf__A17b,2020-03-11 14:15:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-42.9,-41.3,0,12.0,12.0,0,-
SOEM1,6066,Unreachable Bulk FC,2020-03-11 14:30:00,15,Near End,TN-AL6287.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection Retry in progress
SOEM1,6071,Unreachable Bulk FC,2020-03-11 14:30:00,15,Near End,TN-BJ0641.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection Retry in progress
SOEM1,6076,Unreachable Bulk FC,2020-03-11 14:30:00,15,Near End,TN-AL5203.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection Retry in progress
SOEM1,6078,Unreachable Bulk FC,2020-03-11 14:30:00,15,Near End,TN-AL2061.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
SOEM1,6098,Unreachable Bulk FC,2020-03-11 14:30:00,15,Near End,TN-AL6521.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection Retry in progress
SOEM1,6097,Unreachable Bulk FC,2020-03-11 14:30:00,15,Near End,TN2P-BI0725.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
SOEM1,6096,Unreachable Bulk FC,2020-03-11 14:30:00,15,Near End,TN-BIT08.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
SOEM1,6093,Unreachable Bulk FC,2020-03-11 14:30:00,15,Near End,TN-BL5525.1,AMM 6PC,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
SOEM1,6065,1/2/1__a40b__a14c,2020-03-11 14:30:00,15,Near End,TN-AI4440.1,AMM 2PB,-,0,0,-50.1,-48.9,0,16.0,16.0,0,-
SOEM1,6065,1/3/1__a40c__a26b,2020-03-11 14:30:00,15,Near End,TN-AI4440.1,AMM 2PB,-,0,0,-41.6,-40.1,0,19.0,19.0,0,-
SOEM1,6095,1/2/1__n82a__272c,2020-03-11 14:30:00,15,Near End,AL5983.1,AMM 6PC,-,0,0,-50.4,-47.6,0,8.0,8.0,0,-
SOEM1,6095,1/4/1__n83c__x40a,2020-03-11 14:30:00,15,Near End,AL5983.1,AMM 6PC,-,0,0,-43.5,-42.6,0,-6.0,-6.0,0,-
SOEM1,6095,1/3/1__n83b__570a,2020-03-11 14:30:00,15,Near End,AL5983.1,AMM 6PC,-,0,0,-40.4,-39.5,0,-3.0,-3.0,0,-
SOEM1,6067,1/3/1__ATDn__ATJn,2020-03-11 14:30:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-45.1,-44.5,0,14.0,14.0,0,-
SOEM1,6067,1/17/1__ATD1__641b,2020-03-11 14:30:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-39.5,-38.2,0,0.0,0.0,0,-
SOEM1,6067,1/20/1__ATDc__531b,2020-03-11 14:30:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-53.6,-51.7,0,0.0,0.0,0,-
SOEM1,6067,1/14+15/1__ATDd__A27b,2020-03-11 14:30:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-51.1,-50.4,0,0.0,0.0,0,-
SOEM1,6067,1/18+19/1__ATDf__A17b,2020-03-11 14:30:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-42.3,-41.6,0,12.0,12.0,0,-
SOEM1,6067,1/16/1__ATDe__A61b,2020-03-11 14:30:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-49.8,-48.9,0,-5.0,-5.0,0,-
SOEM1,6067,1/5/1__ATDp__ATJp,2020-03-11 14:30:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-45.1,-44.2,0,14.0,14.0,0,-
SOEM1,6067,1/2/1__ATDm__ATJm,2020-03-11 14:30:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-43.8,-43.2,0,14.0,14.0,0,-
SOEM1,6067,1/4/1__ATDj__ATJo,2020-03-11 14:30:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-46.0,-45.1,0,14.0,14.0,0,-
SOEM1,6066,Unreachable Bulk FC,2020-03-11 14:45:00,15,Near End,TN-AL6287.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection Retry in progress
SOEM1,6071,Unreachable Bulk FC,2020-03-11 14:45:00,15,Near End,TN-BJ0641.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection Retry in progress
SOEM1,6076,Unreachable Bulk FC,2020-03-11 14:45:00,15,Near End,TN-AL5203.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection Retry in progress
SOEM1,6078,Unreachable Bulk FC,2020-03-11 14:45:00,15,Near End,TN-AL2061.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
SOEM1,6098,Unreachable Bulk FC,2020-03-11 14:45:00,15,Near End,TN-AL6521.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection Retry in progress
SOEM1,6097,Unreachable Bulk FC,2020-03-11 14:45:00,15,Near End,TN2P-BI0725.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
SOEM1,6096,Unreachable Bulk FC,2020-03-11 14:45:00,15,Near End,TN-BIT08.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
SOEM1,6093,Unreachable Bulk FC,2020-03-11 14:45:00,15,Near End,TN-BL5525.1,AMM 6PC,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
SOEM1,6065,1/2/1__a40b__a14c,2020-03-11 14:45:00,15,Near End,TN-AI4440.1,AMM 2PB,-,0,0,-49.8,-49.2,0,16.0,16.0,0,-
SOEM1,6065,1/3/1__a40c__a26b,2020-03-11 14:45:00,15,Near End,TN-AI4440.1,AMM 2PB,-,0,0,-41.0,-40.4,0,19.0,19.0,0,-
SOEM1,6095,1/3/1__n83b__570a,2020-03-11 14:45:00,15,Near End,AL5983.1,AMM 6PC,-,0,0,-40.4,-39.5,0,-3.0,-3.0,0,-
SOEM1,6095,1/4/1__n83c__x40a,2020-03-11 14:45:00,15,Near End,AL5983.1,AMM 6PC,-,0,0,-43.5,-42.6,0,-6.0,-6.0,0,-
SOEM1,6095,1/2/1__n82a__272c,2020-03-11 14:45:00,15,Near End,AL5983.1,AMM 6PC,-,0,0,-48.5,-47.6,0,8.0,8.0,0,-
SOEM1,6067,1/2/1__ATDm__ATJm,2020-03-11 14:45:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-44.2,-43.2,0,14.0,14.0,0,-
SOEM1,6067,1/4/1__ATDj__ATJo,2020-03-11 14:45:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-46.0,-45.4,0,14.0,14.0,0,-
SOEM1,6067,1/3/1__ATDn__ATJn,2020-03-11 14:45:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-45.1,-44.5,0,14.0,14.0,0,-
SOEM1,6067,1/5/1__ATDp__ATJp,2020-03-11 14:45:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-45.1,-44.2,0,14.0,14.0,0,-
SOEM1,6067,1/18+19/1__ATDf__A17b,2020-03-11 14:45:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-42.9,-41.3,0,12.0,12.0,0,-
SOEM1,6067,1/14+15/1__ATDd__A27b,2020-03-11 14:45:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-51.1,-50.4,0,0.0,0.0,0,-
SOEM1,6067,1/17/1__ATD1__641b,2020-03-11 14:45:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-39.1,-38.5,0,0.0,0.0,0,-
SOEM1,6067,1/20/1__ATDc__531b,2020-03-11 14:45:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-53.6,-51.4,0,0.0,0.0,0,-
SOEM1,6067,1/16/1__ATDe__A61b,2020-03-11 14:45:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-49.5,-48.9,0,-5.0,-5.0,0,-
SOEM1,6066,Unreachable Bulk FC,2020-03-11 15:00:00,15,Near End,TN-AL6287.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection Retry in progress
SOEM1,6071,Unreachable Bulk FC,2020-03-11 15:00:00,15,Near End,TN-BJ0641.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection Retry in progress
SOEM1,6076,Unreachable Bulk FC,2020-03-11 15:00:00,15,Near End,TN-AL5203.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection Retry in progress
SOEM1,6078,Unreachable Bulk FC,2020-03-11 15:00:00,15,Near End,TN-AL2061.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
SOEM1,6093,Unreachable Bulk FC,2020-03-11 15:00:00,15,Near End,TN-BL5525.1,AMM 6PC,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
SOEM1,6098,Unreachable Bulk FC,2020-03-11 15:00:00,15,Near End,TN-AL6521.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection Retry in progress
SOEM1,6097,Unreachable Bulk FC,2020-03-11 15:00:00,15,Near End,TN2P-BI0725.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
SOEM1,6096,Unreachable Bulk FC,2020-03-11 15:00:00,15,Near End,TN-BIT08.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
SOEM1,6065,1/3/1__a40c__a26b,2020-03-11 15:00:00,15,Near End,TN-AI4440.1,AMM 2PB,-,0,0,-41.0,-40.4,0,19.0,19.0,0,-
SOEM1,6065,1/2/1__a40b__a14c,2020-03-11 15:00:00,15,Near End,TN-AI4440.1,AMM 2PB,-,0,0,-50.1,-49.2,0,16.0,16.0,0,-
SOEM1,6095,1/2/1__n82a__272c,2020-03-11 15:00:00,15,Near End,AL5983.1,AMM 6PC,-,0,0,-48.9,-47.6,0,8.0,8.0,0,-
SOEM1,6095,1/3/1__n83b__570a,2020-03-11 15:00:00,15,Near End,AL5983.1,AMM 6PC,-,0,0,-40.4,-39.5,0,-3.0,-3.0,0,-
SOEM1,6095,1/4/1__n83c__x40a,2020-03-11 15:00:00,15,Near End,AL5983.1,AMM 6PC,-,0,0,-43.5,-42.9,0,-6.0,-6.0,0,-
SOEM1,6067,1/2/1__ATDm__ATJm,2020-03-11 15:00:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-44.2,-43.2,0,14.0,14.0,0,-
SOEM1,6067,1/18+19/1__ATDf__A17b,2020-03-11 15:00:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-42.9,-41.6,0,12.0,12.0,0,-
SOEM1,6067,1/4/1__ATDj__ATJo,2020-03-11 15:00:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-46.0,-45.4,0,14.0,14.0,0,-
SOEM1,6067,1/20/1__ATDc__531b,2020-03-11 15:00:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-53.6,-51.7,0,0.0,0.0,0,-
SOEM1,6067,1/3/1__ATDn__ATJn,2020-03-11 15:00:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-45.1,-44.5,0,14.0,14.0,0,-
SOEM1,6067,1/14+15/1__ATDd__A27b,2020-03-11 15:00:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-51.1,-50.4,0,0.0,0.0,0,-
SOEM1,6067,1/17/1__ATD1__641b,2020-03-11 15:00:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-39.1,-38.2,0,0.0,0.0,0,-
SOEM1,6067,1/5/1__ATDp__ATJp,2020-03-11 15:00:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-44.8,-44.2,0,14.0,14.0,0,-
SOEM1,6067,1/16/1__ATDe__A61b,2020-03-11 15:00:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-49.5,-48.9,0,-5.0,-5.0,0,-
SOEM1,6066,Unreachable Bulk FC,2020-03-11 15:15:00,15,Near End,TN-AL6287.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection Retry in progress
SOEM1,6071,Unreachable Bulk FC,2020-03-11 15:15:00,15,Near End,TN-BJ0641.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection Retry in progress
SOEM1,6076,Unreachable Bulk FC,2020-03-11 15:15:00,15,Near End,TN-AL5203.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection Retry in progress
SOEM1,6096,Unreachable Bulk FC,2020-03-11 15:15:00,15,Near End,TN-BIT08.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection Retry in progress
SOEM1,6078,Unreachable Bulk FC,2020-03-11 15:15:00,15,Near End,TN-AL2061.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
SOEM1,6097,Unreachable Bulk FC,2020-03-11 15:15:00,15,Near End,TN2P-BI0725.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection Retry in progress
SOEM1,6098,Unreachable Bulk FC,2020-03-11 15:15:00,15,Near End,TN-AL6521.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection Retry in progress
SOEM1,6093,Unreachable Bulk FC,2020-03-11 15:15:00,15,Near End,TN-BL5525.1,AMM 6PC,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
SOEM1,6065,1/3/1__a40c__a26b,2020-03-11 15:15:00,15,Near End,TN-AI4440.1,AMM 2PB,-,0,0,-41.3,-40.4,0,19.0,19.0,0,-
SOEM1,6065,1/2/1__a40b__a14c,2020-03-11 15:15:00,15,Near End,TN-AI4440.1,AMM 2PB,-,0,0,-50.1,-49.2,0,16.0,16.0,0,-
SOEM1,6095,1/3/1__n83b__570a,2020-03-11 15:15:00,15,Near End,AL5983.1,AMM 6PC,-,0,0,-40.4,-39.5,0,-3.0,-3.0,0,-
SOEM1,6095,1/4/1__n83c__x40a,2020-03-11 15:15:00,15,Near End,AL5983.1,AMM 6PC,-,0,0,-43.5,-42.6,0,-6.0,-6.0,0,-
SOEM1,6095,1/2/1__n82a__272c,2020-03-11 15:15:00,15,Near End,AL5983.1,AMM 6PC,-,0,0,-48.9,-47.9,0,8.0,8.0,0,-
SOEM1,6067,1/2/1__ATDm__ATJm,2020-03-11 15:15:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-43.8,-43.2,0,14.0,14.0,0,-
SOEM1,6067,1/20/1__ATDc__531b,2020-03-11 15:15:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-53.6,-51.4,0,0.0,0.0,0,-
SOEM1,6067,1/17/1__ATD1__641b,2020-03-11 15:15:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-38.8,-38.2,0,0.0,0.0,0,-
SOEM1,6067,1/16/1__ATDe__A61b,2020-03-11 15:15:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-49.5,-48.9,0,-5.0,-5.0,0,-
SOEM1,6067,1/4/1__ATDj__ATJo,2020-03-11 15:15:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-46.0,-45.1,0,14.0,14.0,0,-
SOEM1,6067,1/5/1__ATDp__ATJp,2020-03-11 15:15:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-44.8,-44.2,0,14.0,14.0,0,-
SOEM1,6067,1/3/1__ATDn__ATJn,2020-03-11 15:15:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-45.1,-44.5,0,14.0,14.0,0,-
SOEM1,6067,1/18+19/1__ATDf__A17b,2020-03-11 15:15:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-42.3,-41.6,0,12.0,12.0,0,-
SOEM1,6067,1/14+15/1__ATDd__A27b,2020-03-11 15:15:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-51.1,-50.4,0,0.0,0.0,0,-
SOEM1,6066,Unreachable Bulk FC,2020-03-11 15:30:00,15,Near End,TN-AL6287.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection Retry in progress
SOEM1,6071,Unreachable Bulk FC,2020-03-11 15:30:00,15,Near End,TN-BJ0641.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection Retry in progress
SOEM1,6076,Unreachable Bulk FC,2020-03-11 15:30:00,15,Near End,TN-AL5203.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection Retry in progress
SOEM1,6078,Unreachable Bulk FC,2020-03-11 15:30:00,15,Near End,TN-AL2061.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
SOEM1,6096,Unreachable Bulk FC,2020-03-11 15:30:00,15,Near End,TN-BIT08.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection Retry in progress
SOEM1,6097,Unreachable Bulk FC,2020-03-11 15:30:00,15,Near End,TN2P-BI0725.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection Retry in progress
SOEM1,6098,Unreachable Bulk FC,2020-03-11 15:30:00,15,Near End,TN-AL6521.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection Retry in progress
SOEM1,6093,Unreachable Bulk FC,2020-03-11 15:30:00,15,Near End,TN-BL5525.1,AMM 6PC,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
SOEM1,6065,1/2/1__a40b__a14c,2020-03-11 15:30:00,15,Near End,TN-AI4440.1,AMM 2PB,-,0,0,-50.1,-49.2,0,16.0,16.0,0,-
SOEM1,6065,1/3/1__a40c__a26b,2020-03-11 15:30:00,15,Near End,TN-AI4440.1,AMM 2PB,-,0,0,-41.3,-40.7,0,19.0,19.0,0,-
SOEM1,6095,1/3/1__n83b__570a,2020-03-11 15:30:00,15,Near End,AL5983.1,AMM 6PC,-,0,0,-40.4,-39.5,0,-3.0,-3.0,0,-
SOEM1,6095,1/4/1__n83c__x40a,2020-03-11 15:30:00,15,Near End,AL5983.1,AMM 6PC,-,0,0,-43.5,-42.6,0,-6.0,-6.0,0,-
SOEM1,6095,1/2/1__n82a__272c,2020-03-11 15:30:00,15,Near End,AL5983.1,AMM 6PC,-,0,0,-49.2,-47.9,0,8.0,8.0,0,-
SOEM1,6067,1/5/1__ATDp__ATJp,2020-03-11 15:30:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-44.8,-44.2,0,14.0,14.0,0,-
SOEM1,6067,1/3/1__ATDn__ATJn,2020-03-11 15:30:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-45.1,-44.5,0,14.0,14.0,0,-
SOEM1,6067,1/18+19/1__ATDf__A17b,2020-03-11 15:30:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-42.3,-41.6,0,12.0,12.0,0,-
SOEM1,6067,1/4/1__ATDj__ATJo,2020-03-11 15:30:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-46.0,-45.1,0,14.0,14.0,0,-
SOEM1,6067,1/14+15/1__ATDd__A27b,2020-03-11 15:30:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-51.1,-50.4,0,0.0,0.0,0,-
SOEM1,6067,1/16/1__ATDe__A61b,2020-03-11 15:30:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-49.5,-48.9,0,-5.0,-5.0,0,-
SOEM1,6067,1/17/1__ATD1__641b,2020-03-11 15:30:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-38.8,-38.2,0,0.0,0.0,0,-
SOEM1,6067,1/2/1__ATDm__ATJm,2020-03-11 15:30:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-43.8,-43.2,0,14.0,14.0,0,-
SOEM1,6067,1/20/1__ATDc__531b,2020-03-11 15:30:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-53.6,-50.7,0,0.0,0.0,0,-
SOEM1,6066,Unreachable Bulk FC,2020-03-11 15:45:00,15,Near End,TN-AL6287.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection Retry in progress
SOEM1,6071,Unreachable Bulk FC,2020-03-11 15:45:00,15,Near End,TN-BJ0641.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection Retry in progress
SOEM1,6076,Unreachable Bulk FC,2020-03-11 15:45:00,15,Near End,TN-AL5203.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection Retry in progress
SOEM1,6097,Unreachable Bulk FC,2020-03-11 15:45:00,15,Near End,TN2P-BI0725.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection Retry in progress
SOEM1,6096,Unreachable Bulk FC,2020-03-11 15:45:00,15,Near End,TN-BIT08.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection Retry in progress
SOEM1,6078,Unreachable Bulk FC,2020-03-11 15:45:00,15,Near End,TN-AL2061.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
SOEM1,6098,Unreachable Bulk FC,2020-03-11 15:45:00,15,Near End,TN-AL6521.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection Retry in progress
SOEM1,6093,Unreachable Bulk FC,2020-03-11 15:45:00,15,Near End,TN-BL5525.1,AMM 6PC,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
SOEM1,6095,1/4/1__n83c__x40a,2020-03-11 15:45:00,15,Near End,AL5983.1,AMM 6PC,-,0,0,-43.5,-42.6,0,-6.0,-6.0,0,-
SOEM1,6095,1/3/1__n83b__570a,2020-03-11 15:45:00,15,Near End,AL5983.1,AMM 6PC,-,0,0,-40.4,-39.5,0,-3.0,-3.0,0,-
SOEM1,6095,1/2/1__n82a__272c,2020-03-11 15:45:00,15,Near End,AL5983.1,AMM 6PC,-,0,0,-49.5,-48.2,0,8.0,8.0,0,-
SOEM1,6067,1/2/1__ATDm__ATJm,2020-03-11 15:45:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-44.2,-43.2,0,14.0,14.0,0,-
SOEM1,6067,1/14+15/1__ATDd__A27b,2020-03-11 15:45:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-51.1,-50.4,0,0.0,0.0,0,-
SOEM1,6067,1/18+19/1__ATDf__A17b,2020-03-11 15:45:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-42.9,-41.6,0,12.0,12.0,0,-
SOEM1,6067,1/20/1__ATDc__531b,2020-03-11 15:45:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-53.9,-51.7,0,0.0,0.0,0,-
SOEM1,6067,1/3/1__ATDn__ATJn,2020-03-11 15:45:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-45.4,-44.5,0,14.0,14.0,0,-
SOEM1,6067,1/17/1__ATD1__641b,2020-03-11 15:45:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-38.8,-38.2,0,0.0,0.0,0,-
SOEM1,6067,1/5/1__ATDp__ATJp,2020-03-11 15:45:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-45.4,-44.2,0,14.0,14.0,0,-
SOEM1,6067,1/16/1__ATDe__A61b,2020-03-11 15:45:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-49.5,-48.9,0,-5.0,-5.0,0,-
SOEM1,6067,1/4/1__ATDj__ATJo,2020-03-11 15:45:00,15,Near End,TN-ALT13.1,AMM 20PB,-,0,0,-46.0,-45.1,0,14.0,14.0,0,-
SOEM1,6065,1/3/1__a40c__a26b,2020-03-11 15:45:00,15,Near End,TN-AI4440.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
SOEM1,6065,1/2/1__a40b__a14c,2020-03-11 15:45:00,15,Near End,TN-AI4440.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
SOEM1,6066,Unreachable Bulk FC,2020-03-11 16:00:00,15,Near End,TN-AL6287.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection Retry in progress
SOEM1,6071,Unreachable Bulk FC,2020-03-11 16:00:00,15,Near End,TN-BJ0641.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection Retry in progress
SOEM1,6076,Unreachable Bulk FC,2020-03-11 16:00:00,15,Near End,TN-AL5203.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection Retry in progress
SOEM1,6096,Unreachable Bulk FC,2020-03-11 16:00:00,15,Near End,TN-BIT08.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection Retry in progress
SOEM1,6078,Unreachable Bulk FC,2020-03-11 16:00:00,15,Near End,TN-AL2061.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
SOEM1,6097,Unreachable Bulk FC,2020-03-11 16:00:00,15,Near End,TN2P-BI0725.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection Retry in progress
SOEM1,6098,Unreachable Bulk FC,2020-03-11 16:00:00,15,Near End,TN-AL6521.1,AMM 2PB,-,-,-,-,-,-,-,-,0,PM Collection Retry in progress
SOEM1,6093,Unreachable Bulk FC,2020-03-11 16:00:00,15,Near End,TN-BL5525.1,AMM 6PC,-,-,-,-,-,-,-,-,0,PM Collection failure as object not enabled on NE
SOEM1,6065,1/3/1__a40c__a26b,2020-03-11 16:00:00,15,Near End,TN-AI4440.1,AMM 2PB,-,0,0,-41.3,-40.4,0,19.0,19.0,0,-
SOEM1,6065,1/2/1__a40b__a14c,2020-03-11 16:00:00,15,Near End,TN-AI4440.1,AMM 2PB,-,0,0,-50.1,-49.2,0,16.0,16.0,0,-
